ml_cape,ml_cin,ml_lcl,ml_lfc,mu_cape,mu_cin,mu_lcl,mu_lfc,sb_cape,sb_cin,best_cape,best_cin,cape0_3km,dn_cape,shr6,shr3,shr1,srh3,srh1,STP T03,STP T03 >0,lr0_3km,tmp_sfc,dwp_sfc,rh_sfc,pw,,magnitude
205.47,-233.19,696.38,,430.44,-51.91,796.68,1814.59,0,-9999,324.81,-53.67,58.77,299.28,67.4134,41.4333,10.121,110.08,2.5,0.007523751,0.007523751,4.35,15.07,17.5,105.05,1.47,,1
656.44,-55.06,624.75,,836.12,-2.61,595.88,851.93,371.25,-54.2,819.59,-2,87.62,209.43,63.5197,35.0039,20.2053,183,140.01,1.338113444,1.338113444,5.56,18.71,17.77,95.33,1.56,,0
691.44,-53.19,669.12,,878.88,-1.91,637.5,860.93,495.19,-38.89,854.31,-1.5,96.19,211.8,61.7,33.7354,19.9667,169.67,127.19,1.203594736,1.203594736,5.74,19.53,17.97,90.9,1.58,,0
446.69,-52.09,638.69,,608.38,-5.71,604,895.75,247.31,-48.8,603.38,-4.46,61.64,186.09,55.6912,33.5794,20.2415,170.83,116.8,0.659236786,0.659236786,5.48,18.73,17.51,92.52,1.56,,1
448.34,-65.21,624.06,,587.5,-6.63,776.06,1042.38,231.75,-62.84,587.47,-6.65,114.69,271.08,56.6491,38.5248,28.2054,255.89,211.31,1.230747034,1.230747034,5.53,19.2,17.75,92.72,1.48,,1
1069.41,-253.78,940.56,,1442,-62.24,1121.75,1737.64,479.56,-238.85,1177.44,-57.66,78.37,797.17,48.4201,30.6137,18.8783,110.33,115.35,1.054660395,1.054660395,4.85,19.07,19.06,97.72,1.35,,1
808.91,-209.21,918.06,,922.12,-121.47,1545.56,1802.76,613.38,-169.92,776.19,-23.03,59.8,720.83,46.6137,34.634,21.6394,246.14,220.38,1.498434924,1.498434924,5.2,19.62,18.77,95.84,1.33,,0
983,-211.28,865.81,,1353.19,-65.79,987.25,1789.25,423.5,-233.17,1155.94,-62.58,64.86,718.09,41.388,29.2338,23.4824,234.33,250.54,1.92681312,1.92681312,4.98,19.45,18.55,96.96,1.4,,0
307.58,-133.55,731.19,,399,-82.43,900.88,2196.16,392.38,-88.24,308.81,-75.69,22.47,514.32,43.7989,32.6057,26.1589,270.49,248.61,0.708247797,0.708247797,5.18,19.24,18.15,93.94,1.33,,1
400.72,-184.92,804.69,,696.12,-51.21,851.41,1832.67,0,-9999,665.97,-45.34,11.1,474.2,50.7616,49.1711,40.3036,454.38,394.49,1.598606676,1.598606676,4.77,17.44,17.37,97.07,1.52,,0
