

Conversions from the published agemodels of Lisiecke and Raymo [2005],
Huybers and Wunsch [2004], and the Shackleton composite sequence to
the extended depth-derived age-model.  Columns are ordered as the
original agemodel, the agemodel adjusted to the extended depth-derived
agemodel, and the delta-18O record.  Ages are in kila-years before
present.

Age conversions are estimated using a simulated annealing approach.
Specifically, the agemodel of each record is adjusted so as to
maximize the cross-correlation between its delta-18O record and the
extended depth-derived delta18O stack.  Adjustments are made to the
ages associated with the events indicated in Figures~1 and 2 of the
manuscript, and in-between ages are linearly stretched or squeezed.



References:

1. Lisiecki and Raymo results (LR05):
(obtained from http://www.lorraine-lisiecki.com/stack.html)

Lisiecki, L. E., and M. E. Raymo, 2005 A Plio-Pleistocene stack of 57
globally distributed benthic d18O records, Paleoceanography,
doi:10.1029/2004PA001071.


2.  Late Pleistocene depth-derived results (HW04):

P. Huybers and C. Wunsch, 2004, A depth-derived Pleistocene age-model:
uncertainty estimates, sedimentation variability, and nonlinear
climate change, Paleoceanography.


3. Shackleton composite sequence (Shack.):
(obtained from http://131.111.44.196/coredata/v677846.html)

the reference for the ODP 677 part of the timescale is:
Shackleton, N.J., Berger, A. and Peltier, W.R., 1990 An alternative
astronomical calibration of the lower Pleistocene timescale based on
ODP Site 677.  Trans. R. Soc. Edinburgh, Earth Sci.,81: 251-261

for the 846 isotope stratigraphy:
Shackleton, N.J., Hall,  M. A. and Pate,  D. 1995
Pliocene stable isotope stratigraphy of Site 846
Pisias, N.G., Janacek, L. A., Palmer-Julson, A., and Van Andel, T.H. (Eds.)
Proceedings of the Ocean Drilling Program, Scientific Results, vol. 138: 337-355

for the 846 agemodel: 
Shackleton, N.J., Crowhurst, S., Hagelberg, T., Pisias, N.G., and
Schneider, D.A., 1995 A new Late Neogene time scale: application to
Leg 138 Sites Pisias, N.G., Janacek, L. A., Palmer-Julson, A., and Van
Andel, T.H. (Eds.)  Proceedings of the Ocean Drilling Program,
Scientific Results, vol. 138: 73-101

for V1930: 
Shackleton, N.J. and Pisias, N.G., 1985 Atmospheric carbon dioxide,
orbital forcing, and climate in: E.T Sundquist and W.S. Broeker (Eds.)
The Carbon cycle and atmospheric CO2: natural variations Archean to
present Geophysical Monograph 32, 412-417



    LR05     LR05     LR05     HW04    HW04      HW04     Shack.  Shack.    Shack.   
    age      adjusted d18O     age     adjusted  d18O     age     adjusted  d18O
             age                       age                        age

     0.0      0.0    3.230     10.6     10.6    0.106      0.0      0.0    3.430 
     1.0      1.0    3.230     11.6     11.6    0.928      3.0      3.0    3.370 
     2.0      2.0    3.180     12.6     12.6    1.248      6.0      6.0    3.540 
     3.0      3.0    3.290     13.6     13.6    1.410      9.0      9.0    3.870 
     4.0      4.0    3.300     14.6     14.6    1.484     12.0     12.0    4.360 
     5.0      5.0    3.260     15.6     15.6    1.622     15.0     15.1    4.900 
     6.0      6.0    3.330     16.6     16.6    1.689     18.0     18.1    5.010 
     7.0      7.0    3.370     17.6     17.6    1.615     21.0     21.1    4.960 
     8.0      8.0    3.420     18.6     18.6    1.773     24.0     24.2    4.870 
     9.0      9.0    3.380     19.6     19.6    1.850     27.0     27.2    4.670 
    10.0     10.0    3.520     20.6     20.6    1.831     30.0     30.3    4.580 
    11.0     10.9    3.600     21.6     21.6    1.586     33.0     33.3    4.610 
    12.0     11.9    3.920     22.6     22.6    1.568     36.0     36.4    4.570 
    13.0     12.8    4.060     23.6     23.6    1.674     39.0     39.4    4.490 
    14.0     13.7    4.280     24.6     24.6    1.657     42.0     42.4    4.580 
    15.0     14.6    4.490     25.6     25.6    1.619     45.0     45.5    4.570 
    16.0     15.6    4.750     26.6     26.6    1.518     48.0     48.3    4.570 
    17.0     16.5    4.880     27.6     27.6    1.533     51.0     50.8    4.480 
    18.0     17.4    5.020     28.6     28.6    1.473     54.0     53.8    4.450 
    19.0     18.3    4.960     29.6     29.6    1.297     57.0     56.8    4.420 
    20.0     19.3    4.990     30.6     30.6    1.271     60.0     59.9    4.470 
    21.0     20.2    4.910     31.6     31.6    1.190     63.0     62.9    4.610 
    22.0     21.1    4.880     32.6     32.6    1.040     66.0     65.9    4.600 
    23.0     22.0    4.860     33.6     33.6    0.984     69.0     69.0    4.500 
    24.0     23.0    4.810     34.6     34.6    0.932     72.0     72.0    4.340 
    25.0     23.9    4.820     35.6     35.6    0.803     75.0     75.1    4.260 
    26.0     24.8    4.670     36.6     36.6    0.828     78.0     78.1    4.110 
    27.0     25.7    4.750     37.6     37.6    0.936     81.0     81.1    4.020 
    28.0     26.7    4.750     38.6     38.6    0.917     84.0     83.3    4.130 
